"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Beckage_Netlogo7_butterfliesObs_sol.nlogox"
"q to maximize neighbors"
"05/05/2026 09:42:15:571 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","exportCorridorWidth?","ButterFliesAtOrigin?","ImportElevationData?","q","[step]","mean-Neighbors"
"528","false","false","true","0.52","999","15.124"
"529","false","false","true","0.52","999","17.204"
"530","false","false","true","0.52","999","15.884"
"531","false","false","true","0.53","999","16.964"
"532","false","false","true","0.53","999","16.676"
"533","false","false","true","0.53","999","14.388"
"535","false","false","true","0.53","999","18.892"
"536","false","false","true","0.53","999","13.848"
"537","false","false","true","0.53","999","16.504"
"534","false","false","true","0.53","999","15.224"
"539","false","false","true","0.53","999","17.152"
"538","false","false","true","0.53","999","16.308"
"540","false","false","true","0.53","999","16.932"
"541","false","false","true","0.54","999","14.744"
"542","false","false","true","0.54","999","15.228"
"543","false","false","true","0.54","999","17.864"
"546","false","false","true","0.54","999","17.804"
"548","false","false","true","0.54","999","17.5"
"545","false","false","true","0.54","999","19.016"
"544","false","false","true","0.54","999","17.004"
"547","false","false","true","0.54","999","16.2"
"550","false","false","true","0.54","999","17.856"
"551","false","false","true","0.55","999","14.516"
"549","false","false","true","0.54","999","16.764"
"553","false","false","true","0.55","999","16.704"
"552","false","false","true","0.55","999","19.5"
"556","false","false","true","0.55","999","15.204"
"554","false","false","true","0.55","999","19.232"
"555","false","false","true","0.55","999","17.048"
"560","false","false","true","0.55","999","18.976"
"557","false","false","true","0.55","999","17.2"
"558","false","false","true","0.55","999","17.424"
"559","false","false","true","0.55","999","14.968"
"561","false","false","true","0.56","999","15.752"
"564","false","false","true","0.56","999","15.668"
"562","false","false","true","0.56","999","19.944"
"565","false","false","true","0.56","999","18.28"
"563","false","false","true","0.56","999","14.936"
"566","false","false","true","0.56","999","14.404"
"567","false","false","true","0.56","999","17.108"
"569","false","false","true","0.56","999","15.128"
"568","false","false","true","0.56","999","14.072"
"570","false","false","true","0.56","999","15.512"
"573","false","false","true","0.57","999","15.784"
"571","false","false","true","0.57","999","15.876"
"572","false","false","true","0.57","999","15.508"
"574","false","false","true","0.57","999","16.26"
"576","false","false","true","0.57","999","16.732"
"578","false","false","true","0.57","999","16.356"
"575","false","false","true","0.57","999","16.012"
"580","false","false","true","0.57","999","17.408"
"579","false","false","true","0.57","999","15.896"
"577","false","false","true","0.57","999","15.404"
"583","false","false","true","0.58","999","17.48"
"582","false","false","true","0.58","999","17.576"
"581","false","false","true","0.58","999","19.048"
"584","false","false","true","0.58","999","15.436"
"585","false","false","true","0.58","999","15.844"
"586","false","false","true","0.58","999","16.064"
"588","false","false","true","0.58","999","16.58"
"587","false","false","true","0.58","999","14.972"
"589","false","false","true","0.58","999","15.264"
"590","false","false","true","0.58","999","14.936"
"593","false","false","true","0.59","999","17.348"
"591","false","false","true","0.59","999","16.356"
"594","false","false","true","0.59","999","17.212"
"595","false","false","true","0.59","999","15.576"
"596","false","false","true","0.59","999","18.54"
"592","false","false","true","0.59","999","17.128"
"598","false","false","true","0.59","999","16.144"
"597","false","false","true","0.59","999","14.448"
"599","false","false","true","0.59","999","15.832"
"600","false","false","true","0.59","999","16.796"
"602","false","false","true","0.6","999","16.804"
"603","false","false","true","0.6","999","15.488"
"601","false","false","true","0.6","999","17.68"
"605","false","false","true","0.6","999","15.94"
"604","false","false","true","0.6","999","15.18"
"607","false","false","true","0.6","999","14.968"
"606","false","false","true","0.6","999","17.036"
"609","false","false","true","0.6","999","14.732"
"608","false","false","true","0.6","999","14.544"
"610","false","false","true","0.6","999","14.744"
"611","false","false","true","0.61","999","16.148"
"612","false","false","true","0.61","999","18.112"
"613","false","false","true","0.61","999","15.112"
"614","false","false","true","0.61","999","16.052"
"615","false","false","true","0.61","999","17.072"
"616","false","false","true","0.61","999","15.224"
"617","false","false","true","0.61","999","15.28"
"618","false","false","true","0.61","999","15.528"
"619","false","false","true","0.61","999","15.74"
"620","false","false","true","0.61","999","16.788"
"623","false","false","true","0.62","999","15.684"
"622","false","false","true","0.62","999","15.828"
"621","false","false","true","0.62","999","17.656"
"625","false","false","true","0.62","999","18.628"
"624","false","false","true","0.62","999","16.568"
"626","false","false","true","0.62","999","17.552"
"628","false","false","true","0.62","999","18.468"
"627","false","false","true","0.62","999","17.592"
"629","false","false","true","0.62","999","17.556"
"630","false","false","true","0.62","999","14.992"
"632","false","false","true","0.63","999","16.968"
"631","false","false","true","0.63","999","15.292"
"633","false","false","true","0.63","999","15.028"
"634","false","false","true","0.63","999","16.876"
"636","false","false","true","0.63","999","14.604"
"638","false","false","true","0.63","999","17.116"
"637","false","false","true","0.63","999","16.048"
"635","false","false","true","0.63","999","13.34"
"639","false","false","true","0.63","999","17.796"
